Date Group,ADJOE,UNITY ADS,TAPJOY,ORGANIC,MOBSUCCESS,MISTPLAY,FACEBOOK,AURA IRONSOURCE,APPLOVIN,ADWORDS
1/20/2023,120246,54167,21716,96844,9621,1257,26037,69861,7112,24480
1/27/2023,145655,45965,20937,84681,10231,1370,22605,62273,9139,23091
2/3/2023,136068,41567,28283,67596,9150,1725,14339,65921,9910,29640
2/10/2023,129430,8043,119762,57213,8416,1617,4821,68703,11740,9941
2/17/2023,100774,647,80168,48768,8158,1596,592,58602,12072,3656
2/24/2023,102993,268,60982,42848,7117,3061,0,51246,9618,1728
3/3/2023,98788,513,165309,37943,10107,3422,0,47842,5620,10097
3/10/2023,86601,0,117430,27604,6959,3067,0,44518,515,1723
3/17/2023,91148,0,56553,24225,7422,2754,0,43934,1173,108
3/24/2023,85759,0,82211,54617,6620,3156,0,40668,1433,0
3/31/2023,76207,0,65158,75718,5386,3022,0,38637,1765,0
4/7/2023,68880,0,68827,64632,5352,3017,0,41520,2396,0
4/14/2023,65161,0,81175,53079,5181,2638,0,41296,3198,0
4/21/2023,70797,0,67680,53723,4563,2157,0,38627,3506,0
4/28/2023,72002,0,72940,49668,4329,2033,0,36875,3043,0
5/5/2023,65697,0,86637,45210,4100,1946,0,35989,2356,0
5/12/2023,59759,0,83947,48310,4476,2157,0,36381,1717,0
5/19/2023,62000,0,31137,40420,4403,1828,0,36457,1323,0
5/26/2023,59291,0,109910,45436,3622,1255,0,34887,1081,0
